num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
1795,OQ709214.1_44_30468_32333,621,979,0.97,17,14.0,82.35,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1796,OQ709214.1_52_36246_37667,473,979,0.99,9,8.0,88.89,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1797,OQ709219.1_7_1637_3058,473,978,0.95,9,5.0,55.56,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1798,OQ709219.1_8_3055_4623,522,610,0.95,12,2.0,16.67,YP_009029998.1,91,Flaviviridae,Flaviviridae,Flaviviridae,Undefined genus,putative glycoprotein,Glycoprotein,Rhipicephalus microplus,ssRNA(+)
1799,OQ709219.1_9_4568_7138,856,978,1.0,28,17.0,60.71,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1800,OQ709219.1_12_7974_8909,311,979,0.98,1,1.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1801,OQ709219.1_20_12116_15949,1277,978,0.99,49,35.0,71.43,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1802,OQ709219.1_21_16051_17187,378,978,0.87,4,1.0,25.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1803,OQ709219.1_22_17188_18954,588,979,0.9,15,8.0,53.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1804,OQ709219.1_24_19514_20596,360,979,0.98,3,1.0,33.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1805,OQ709219.1_26_20912_23344,810,978,0.92,26,8.0,30.77,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1806,OQ709219.1_27_23356_24369,337,979,0.91,2,1.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1807,OQ709219.1_29_24842_26497,551,978,0.92,13,7.0,53.85,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1808,OQ709219.1_34_28369_29601,410,978,0.96,6,5.0,83.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1809,OQ709219.1_40_32595_33683,362,979,1.0,4,3.0,75.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1810,OQ709219.1_66_44510_47128,872,978,0.95,29,24.0,82.76,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1811,OQ709219.1_69_48686_49873,395,979,0.9,5,2.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1812,OQ709219.1_81_53944_55137,397,979,0.95,5,2.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1813,OX382579.1_6_2930_4408,492,979,0.92,10,4.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1814,OX382579.1_7_4436_5551,371,979,0.9,4,3.0,75.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1815,OX382579.1_8_5548_7092,514,978,1.0,11,11.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1816,OX382579.1_14_9395_10840,481,978,1.0,10,10.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1817,OX382579.1_15_10837_12084,415,978,1.0,6,6.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1818,OX382596.1_4_1013_3649,878,978,0.95,29,14.0,48.28,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1819,OX382596.1_6_4217_5491,424,979,0.88,7,5.0,71.43,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1820,OX382596.1_10_7047_8225,392,978,0.91,5,2.0,40.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1821,OX382596.1_27_15027_18779,1250,978,0.94,48,26.0,54.17,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1822,OX382596.1_42_26999_31789,1596,978,0.99,65,43.0,66.15,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1823,OX382596.1_46_33245_34888,547,978,0.95,13,5.0,38.46,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1824,OX382596.1_53_38490_40529,679,978,0.92,19,6.0,31.58,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1825,OX382596.1_55_40870_42108,412,978,0.89,6,4.0,66.67,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1826,OX382596.1_57_42619_44271,550,979,0.95,13,12.0,92.31,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1827,OX382596.1_58_44392_45681,429,118,1.0,7,1.0,14.29,YP_052942.1,916,Reoviridae,Sedoreoviridae,Reoviridae,Orbivirus,RNA-dependent RNA polymerase,Replication-Transcription,Ovis aries,dsRNA
1828,OX382596.1_63_46947_48911,654,978,0.98,18,9.0,50.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1829,OX382596.1_68_50053_52404,783,978,0.99,25,25.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1830,OX382616.1_1_1_1734,578,979,0.92,14,8.0,57.14,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1831,OX382616.1_3_2187_3563,458,978,0.97,8,6.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1832,OX382616.1_4_3839_4852,337,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1833,OX382616.1_11_7273_8358,361,979,0.95,4,4.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1834,OX382616.1_14_9006_10889,627,978,0.97,17,7.0,41.18,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1835,OX382616.1_16_11116_13632,838,979,0.94,27,10.0,37.04,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1836,OX382616.1_18_14198_15139,313,978,1.0,1,1.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1837,OX382616.1_30_19702_20691,329,81,0.96,2,1.0,50.0,ACX32354.1,1532,Papillomaviridae,Papillomaviridae,Papillomaviridae,Alphapapillomavirus,early E2,Regulation-Control,Homo sapiens,dsDNA
1838,OX382616.1_35_22860_24161,433,978,0.94,7,4.0,57.14,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1839,OX382616.1_44_26967_28070,367,978,0.83,4,2.0,50.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1840,OX382616.1_45_28070_30232,720,427,0.96,21,7.0,33.33,QDZ38037.1,152,Astroviridae,Astroviridae,Astroviridae,Mamastrovirus,ORF2,Structural-Envelope,Bos taurus,ssRNA(+)
1841,OX382616.1_46_30235_33954,1239,978,0.98,47,43.0,91.49,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1842,OX382616.1_56_37704_43493,1929,979,0.97,82,50.0,60.98,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1843,OX382616.1_59_44114_45154,346,979,0.82,3,1.0,33.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1844,OX382616.1_64_47063_49183,706,978,0.99,21,14.0,66.67,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1845,OX382633.1_37_16088_17470,460,858,0.94,8,2.0,25.0,QRX38982.1,43,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae-Caulimoviridae,Cytorhabdovirus,RNA-dependent RNA polymerase,Replication-Transcription,Triticum aestivum,ssRNA(-)
1846,OX382633.1_39_18216_31253,4345,978,0.94,203,65.0,32.02,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1847,OX382633.1_40_31269_33110,613,978,0.95,16,16.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1848,OX382633.1_43_34372_38538,1388,978,0.94,55,17.0,30.91,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1849,OX382633.1_44_38535_40058,507,888,1.0,11,2.0,18.18,YP_001427130.1,40,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,Chlorovirus,hypothetical protein,Hypothetical,Micractinium conductrix,dsDNA
1850,OX382633.1_46_40577_41776,399,978,0.99,5,5.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1851,OX382633.1_47_41773_42888,371,978,0.92,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1852,OX382633.1_49_43473_44588,371,569,1.0,4,3.0,75.0,YP_009325603.1,106,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,Chlorovirus,Chlorovirus glycoprotein repeat domain-containing protein,Glycoprotein,Chlorella variabilis,dsDNA
1853,OX382633.1_57_48219_49277,352,373,0.88,3,2.0,66.67,QTE76099.1,184,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,inner capsid protein VP6,Structural-Envelope,Sus scrofa,dsRNA
1854,OX382633.1_59_50170_52374,734,978,0.93,22,13.0,59.09,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1855,OX382633.1_61_52508_54253,581,979,0.92,15,11.0,73.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1856,OX382633.1_64_55711_60915,1734,978,0.96,72,34.0,47.22,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1857,OX382633.1_66_61189_62922,577,979,0.99,14,13.0,92.86,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1858,OX382641.1_8_3362_4711,449,979,0.9,8,2.0,25.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1859,OX382641.1_15_7313_8485,390,979,0.98,5,4.0,80.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1860,OX382641.1_16_8499_10361,620,979,0.99,16,8.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1861,OX382641.1_17_10361_12454,697,979,0.99,20,11.0,55.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1862,OX382641.1_19_12733_13734,333,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1863,OX382641.1_20_13724_15037,437,978,0.89,7,2.0,28.57,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1864,OX382641.1_30_17685_19862,725,978,0.95,22,12.0,54.55,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1865,OX382641.1_36_22136_23590,484,978,1.0,10,10.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1866,OX382641.1_37_23591_26413,940,978,0.97,32,12.0,37.5,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1867,OX382641.1_38_26413_29313,966,978,0.95,34,18.0,52.94,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1868,OX382665.1_2_691_1935,414,978,1.0,6,6.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1869,OX382665.1_5_2770_4095,441,979,1.0,8,7.0,87.5,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1870,OX382665.1_20_9094_10227,377,979,0.89,4,2.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1871,OX382665.1_31_12887_14449,520,979,0.98,11,7.0,63.64,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1872,OX382665.1_32_14469_16454,661,979,0.99,19,10.0,52.63,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1873,OX382665.1_33_16893_18413,506,979,0.89,11,5.0,45.45,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1874,OX382665.1_35_18830_20287,485,979,0.92,10,3.0,30.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1875,OX382665.1_37_20445_21989,514,979,1.0,11,11.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1876,OX382665.1_41_23135_24397,420,978,1.0,6,6.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1877,OX382665.1_43_25258_26436,392,978,0.98,5,4.0,80.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1878,OX382665.1_44_26557_27867,436,979,1.0,7,1.0,14.29,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1879,OX382665.1_54_33029_34372,448,978,0.99,8,8.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1880,OX382689.1_6_1539_7142,1867,979,0.96,79,36.0,45.57,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1881,OX382689.1_7_7139_8851,570,978,0.95,14,9.0,64.29,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1882,OX382689.1_10_9831_12629,932,978,0.98,32,21.0,65.62,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1883,OX382689.1_11_12639_13718,359,978,0.99,3,1.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1884,OX382689.1_20_16259_18784,841,978,0.98,28,23.0,82.14,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1885,OX382689.1_28_21805_22848,347,978,0.85,3,1.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1886,OX382689.1_30_23930_25678,582,979,0.91,15,6.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1887,OX382689.1_33_26264_27757,497,979,0.94,10,5.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1888,OX382689.1_52_35818_37242,474,979,0.92,9,3.0,33.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1889,OX382689.1_58_38454_39443,329,978,0.94,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1890,OX382689.1_66_42683_44167,494,978,0.85,10,4.0,40.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1891,OX382689.1_67_44139_45323,394,979,0.98,5,3.0,60.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1892,OX382709.1_2_283_2475,730,978,0.95,22,17.0,77.27,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1893,OX382709.1_4_2784_4040,418,978,0.96,6,2.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1894,OX382709.1_41_18453_19529,358,739,0.99,3,1.0,33.33,QTJ62749.1,61,Narnaviridae,Narnaviridae,Narnaviridae,Narnavirus,RNA-dependent RNA polymerase,Replication-Transcription,Entomophthora muscae,ssRNA(+)
1895,OX382709.1_52_22785_24125,446,978,1.0,8,8.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1896,OX382709.1_54_24433_26973,846,978,0.96,28,12.0,42.86,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1897,OX382709.1_55_27106_28914,602,978,0.99,16,16.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1898,OX382709.1_56_28911_30302,463,978,0.94,9,3.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1899,OX382709.1_61_32043_33431,462,978,0.91,9,5.0,55.56,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1900,OX382709.1_65_34929_36215,428,978,1.0,7,7.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1901,OX382709.1_67_37161_38378,405,978,0.99,6,5.0,83.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1902,OX382712.1_6_1539_7142,1867,979,0.96,79,36.0,45.57,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1903,OX382712.1_7_7139_8851,570,978,0.95,14,9.0,64.29,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1904,OX382712.1_10_9831_12629,932,978,0.98,32,21.0,65.62,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1905,OX382712.1_11_12639_13718,359,978,0.99,3,1.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1906,OX382712.1_20_16259_18784,841,978,0.98,28,23.0,82.14,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1907,OX382712.1_28_21805_22848,347,978,0.85,3,1.0,33.33,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1908,OX382712.1_30_23930_25678,582,979,0.91,15,6.0,40.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1909,OX382712.1_33_26264_27757,497,979,0.94,10,5.0,50.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1910,OX382712.1_52_35818_37242,474,979,0.92,9,3.0,33.33,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1911,OX382712.1_58_38454_39443,329,978,0.94,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1912,OX382712.1_66_42683_44167,494,978,0.85,10,4.0,40.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1913,OX382712.1_67_44139_45323,394,979,0.98,5,3.0,60.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1914,OX382720.1_3_1322_3490,722,979,0.95,22,8.0,36.36,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
