num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
269,254,NODE_524_length_1802_cov_6.256395_1_3_1325,440,227,1.0,ACE80203.1,Picornaviridae,Picornaviridae-Hepadnaviridae,Picornaviridae,805,380,polyprotein,Polyprotein,Anatidae,ssRNA(+),Avihepatovirus,4,1.0,25.0
270,255,NODE_525_length_1802_cov_6.083284_1_625_1800,391,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
271,256,NODE_527_length_1800_cov_3.214413_3_863_1798,311,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
272,257,NODE_532_length_1796_cov_21.786866_1_161_1240,359,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
273,258,NODE_533_length_1796_cov_3.825672_1_166_1794,542,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,6.0,85.71
274,259,NODE_535_length_1791_cov_3.237126_1_346_1791,482,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,5.0,100.0
275,260,NODE_537_length_1788_cov_130.944811_1_320_1708,462,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,4.0,80.0
277,261,NODE_541_length_1785_cov_1.700120_1_3_1784,594,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,7.0,87.5
278,262,NODE_543_length_1782_cov_8.420229_1_245_1780,511,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,4.0,66.67
279,263,NODE_544_length_1782_cov_5.161951_1_2_1177,391,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
280,264,NODE_545_length_1781_cov_16.350000_1_120_1424,434,978,0.94,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,4,2.0,50.0
281,265,NODE_553_length_1772_cov_5.327680_1_279_1772,497,979,0.9,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,4.0,80.0
282,266,NODE_555_length_1771_cov_4.063636_1_158_1288,376,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
283,267,NODE_556_length_1769_cov_7.743932_1_2_955,317,639,0.93,YP_009164031.1,Flaviviridae,Flaviviridae,Flaviviridae,251,83,polyprotein,Polyprotein,Culex tarsalis,ssRNA(+),Flavivirus,1,1.0,100.0
284,268,NODE_557_length_1769_cov_5.126820_1_3_1739,578,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,6.0,85.71
285,269,NODE_560_length_1767_cov_2.218104_1_215_1765,516,20,0.96,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus,6,4.0,66.67
286,270,NODE_562_length_1766_cov_4.736170_1_672_1730,352,979,0.81,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
287,271,NODE_566_length_1761_cov_4.545732_1_123_1583,486,110,0.96,YP_009361853.1,Hantaviridae,Hantaviridae,Hantaviridae,919,1010,RNA-dependent RNA polymerase,Replication-Transcription,Rattus norvegicus,ssRNA(-),Orthohantavirus,5,1.0,20.0
288,272,NODE_569_length_1755_cov_8.456548_1_3_1754,584,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,7.0,87.5
289,273,NODE_572_length_1752_cov_4.777437_1_676_1752,359,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
290,274,NODE_573_length_1752_cov_2.345800_1_2_1744,581,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,6.0,75.0
292,275,NODE_577_length_1749_cov_5.630835_1_141_1706,521,979,0.9,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,2.0,33.33
293,276,NODE_579_length_1746_cov_5.417231_1_3_1745,581,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,8.0,100.0
294,277,NODE_581_length_1744_cov_6.255699_1_341_1741,466,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,5.0,100.0
295,278,NODE_583_length_1743_cov_8.245376_1_546_1742,398,600,0.99,AYD75927.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,1226,93,replicase,Replication-Transcription,Malus domestica,ssRNA(+),Trichovirus,3,1.0,33.33
296,279,NODE_584_length_1743_cov_6.185573_1_2_1741,580,979,0.87,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,2.0,28.57
297,280,NODE_585_length_1742_cov_10.933374_2_330_1742,470,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,4.0,80.0
298,281,NODE_586_length_1742_cov_7.097471_1_2_1645,547,219,1.0,BAW81815.1,Bromoviridae,Bromoviridae,Bromoviridae,3944,402,2a protein- RNA-dependent RNA polymerase,Replication-Transcription,Capsicum annuum,ssRNA(+),Cucumovirus,7,3.0,42.86
299,282,NODE_587_length_1741_cov_5.240123_1_94_1431,445,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
300,283,NODE_588_length_1740_cov_1.801729_1_58_1644,528,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
301,284,NODE_590_length_1739_cov_6.150803_1_86_1738,551,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,3.0,42.86
302,285,NODE_595_length_1733_cov_51.602357_1_2_1036,344,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
303,286,NODE_596_length_1733_cov_3.921216_1_544_1731,395,219,0.97,BAW81815.1,Bromoviridae,Bromoviridae,Bromoviridae,3944,402,2a protein- RNA-dependent RNA polymerase,Replication-Transcription,Capsicum annuum,ssRNA(+),Cucumovirus,3,1.0,33.33
304,287,NODE_597_length_1731_cov_10.408696_1_3_1730,576,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,5.0,71.43
305,288,NODE_599_length_1729_cov_11.498756_2_309_1727,472,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,2.0,40.0
306,289,NODE_600_length_1729_cov_1.955846_1_1_1620,539,20,0.9,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus,6,2.0,33.33
308,290,NODE_604_length_1725_cov_1.316708_1_581_1660,359,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
309,291,NODE_607_length_1721_cov_2.901250_1_1_1719,573,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,2.0,28.57
310,292,NODE_608_length_1720_cov_4.971232_1_3_1319,438,20,1.0,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus,4,3.0,75.0
311,293,NODE_612_length_1718_cov_1.789606_1_1_1716,572,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,7.0,100.0
312,294,NODE_613_length_1715_cov_4.942911_1_661_1713,350,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
314,295,NODE_617_length_1711_cov_4.520126_1_1_1209,402,20,0.99,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus,3,2.0,66.67
315,296,NODE_620_length_1707_cov_9.061791_1_278_1705,476,29,0.98,QSC88236.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,15836,5119,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus,5,3.0,60.0
316,297,NODE_623_length_1706_cov_2.846688_2_369_1706,445,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
317,298,NODE_624_length_1705_cov_4.588384_1_3_1703,567,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,7.0,100.0
318,299,NODE_626_length_1703_cov_7.061315_1_3_1454,483,979,0.85,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,3.0,60.0
319,300,NODE_630_length_1702_cov_7.277040_1_384_1700,439,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
320,301,NODE_631_length_1702_cov_3.775459_1_38_1120,360,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
321,302,NODE_632_length_1701_cov_14.829747_2_482_1699,405,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
322,303,NODE_634_length_1701_cov_1.783544_1_3_1700,566,978,0.84,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,7,4.0,57.14
323,304,NODE_637_length_1699_cov_6.472117_1_2_1699,566,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,5.0,71.43
324,305,NODE_638_length_1699_cov_4.666667_1_586_1698,370,952,0.93,QIP68050.1,Totiviridae,Totiviridae,Totiviridae,3655,34,RNA-dependent RNA polymerase,Replication-Transcription,Erysiphe sp.,dsRNA,Totivirus,2,2.0,100.0
325,306,NODE_645_length_1696_cov_4.897778_2_344_1696,450,979,0.89,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
326,307,NODE_646_length_1696_cov_4.558730_1_544_1560,338,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
327,308,NODE_649_length_1695_cov_4.578780_1_101_1693,530,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,4.0,66.67
328,309,NODE_651_length_1695_cov_1.624524_1_190_1695,501,978,0.96,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,3.0,50.0
329,310,NODE_653_length_1692_cov_3.246340_1_2_1690,563,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,5.0,71.43
330,311,NODE_654_length_1691_cov_22.389172_1_3_947,314,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
331,312,NODE_655_length_1690_cov_5.664755_1_3_1688,562,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,5.0,71.43
332,313,NODE_657_length_1689_cov_5.391582_1_411_1688,425,979,0.86,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,1.0,25.0
333,314,NODE_659_length_1687_cov_4.955300_1_219_1685,488,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,2.0,40.0
334,315,NODE_660_length_1686_cov_4.700319_1_114_1349,411,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,1.0,33.33
335,316,NODE_662_length_1685_cov_7.425831_1_2_1684,561,543,0.9,QIX04702.1,Bornaviridae,Bornaviridae,Bornaviridae,1393,116,polymerase,Replication-Transcription,Callosciurus prevostii,ssRNA(-),Orthobornavirus,7,3.0,42.86
336,317,NODE_663_length_1685_cov_6.568414_2_483_1619,378,833,0.9,YP_164258.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,992,46,replicase,Replication-Transcription,Prunus persica,ssRNA(+),Foveavirus,2,1.0,50.0
337,318,NODE_664_length_1684_cov_4.888676_1_3_1682,560,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,7.0,100.0
338,319,NODE_667_length_1683_cov_3.581946_1_28_978,316,926,0.95,ALD83625.1,Nairoviridae,Nairoviridae,Nairoviridae,1209,36,glycoprotein precursor,Glycoprotein,Ixodes uriae,ssRNA(-),Orthonairovirus,1,1.0,100.0
339,320,NODE_680_length_1670_cov_1.566172_1_3_1670,556,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,5.0,71.43
340,321,NODE_685_length_1667_cov_18.901682_1_408_1427,339,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
341,322,NODE_686_length_1664_cov_16.273493_1_187_1662,491,978,0.94,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,5,4.0,80.0
342,323,NODE_690_length_1660_cov_49.429500_1_111_1466,451,532,0.93,AWV66923.1,Tobaniviridae,Tobaniviridae,Tobaniviridae,37,119,polyprotein 1a,Polyprotein,Sus scrofa,ssRNA(+),Torovirus,4,2.0,50.0
343,324,NODE_695_length_1656_cov_9.334853_1_52_1656,534,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
344,325,NODE_697_length_1652_cov_5.414762_1_1_1650,550,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,6.0,85.71
345,326,NODE_703_length_1649_cov_5.449607_1_37_1647,537,979,0.89,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,2.0,33.33
346,327,NODE_705_length_1649_cov_1.562173_2_618_1649,343,125,0.99,AJE30400.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,9714,853,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Morbillivirus,2,2.0,100.0
347,328,NODE_707_length_1648_cov_2.733464_1_1_1647,549,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,7.0,100.0
348,329,NODE_709_length_1647_cov_5.254915_2_218_1645,475,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,5.0,100.0
349,330,NODE_712_length_1646_cov_16.062295_1_2_1042,346,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
350,331,NODE_715_length_1644_cov_3.946159_1_1_1593,530,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,2.0,33.33
351,332,NODE_716_length_1642_cov_9.371466_1_1_1311,436,214,0.98,YP_009513193.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,6082,409,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthonairovirus,4,1.0,25.0
352,333,NODE_722_length_1639_cov_5.114625_1_1_1188,396,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
353,334,NODE_728_length_1634_cov_3.006609_1_1_1632,544,745,0.99,QOD39474.1,Parvoviridae,Parvoviridae,Parvoviridae,7711,60,NS1,Non-structural,Pisaster ochraceus,ssDNA(+/-),Ambidensovirus,7,1.0,14.29
354,335,NODE_735_length_1632_cov_2.656519_1_3_1631,543,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,2.0,28.57
355,336,NODE_740_length_1630_cov_10.429423_2_294_1628,444,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,2.0,50.0
356,337,NODE_746_length_1627_cov_23.784197_1_279_1334,351,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
357,338,NODE_749_length_1626_cov_4.894352_1_62_1624,521,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
358,339,NODE_751_length_1622_cov_3.149900_2_358_1620,420,978,0.88,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,2.0,66.67
359,340,NODE_753_length_1620_cov_16.903936_1_163_1338,391,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
360,341,NODE_754_length_1620_cov_4.930620_1_2_931,310,575,0.94,YP_007506946.1,Solemoviridae,Solemoviridae,Solemoviridae,3030,103,RNA-dependent RNA polymerase,Replication-Transcription,Oryza sativa,ssRNA(+),Sobemovirus,1,1.0,100.0
361,342,NODE_757_length_1618_cov_9.090180_2_632_1618,328,771,0.97,YP_009505328.1,Phenuiviridae,Phenuiviridae,Phenuiviridae,2260,54,glycoprotein,Glycoprotein,Aedes aegypti,ssRNA(-),Phasivirus,1,1.0,100.0
362,343,NODE_760_length_1617_cov_3.582888_2_700_1617,305,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
363,344,NODE_761_length_1616_cov_2.700334_1_88_1614,508,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,4.0,66.67
364,345,NODE_765_length_1615_cov_1.797189_1_447_1613,389,112,0.98,QEO75949.1,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,1739,972,polyprotein,Polyprotein,Homo sapiens,ssRNA(-),Orthobunyavirus,3,1.0,33.33
365,346,NODE_766_length_1614_cov_5.475553_2_348_1613,421,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
366,347,NODE_768_length_1612_cov_4.907445_1_2_1612,537,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
367,348,NODE_770_length_1611_cov_10.285906_1_253_1611,452,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
368,349,NODE_771_length_1611_cov_5.730201_1_3_1283,426,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
369,350,NODE_772_length_1611_cov_3.755034_1_2_1564,521,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
370,351,NODE_777_length_1606_cov_3.859933_1_2_1606,535,978,0.91,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,3.0,50.0
371,352,NODE_780_length_1603_cov_5.246289_1_1_1059,352,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
372,353,NODE_785_length_1601_cov_9.629730_1_112_1200,362,494,1.0,WP_016023246.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5601,131,capsid scaffold protein,Structural-Envelope,Homo sapiens,dsDNA,Varicellovirus,2,1.0,50.0
373,354,NODE_792_length_1599_cov_23.280108_1_3_1208,401,20,0.91,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus,3,2.0,66.67
374,355,NODE_794_length_1599_cov_3.193505_1_53_1597,515,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
375,356,NODE_803_length_1593_cov_4.186821_1_3_1592,530,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
376,357,NODE_805_length_1592_cov_11.892590_1_1_1590,530,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,3.0,50.0
377,358,NODE_812_length_1589_cov_8.059264_1_2_1588,529,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
378,359,NODE_813_length_1589_cov_5.742507_1_2_1588,529,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
379,360,NODE_815_length_1589_cov_4.234332_1_358_1587,409,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
380,361,NODE_824_length_1582_cov_8.156742_1_81_1580,499,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,2.0,40.0
381,362,NODE_825_length_1582_cov_1.891170_1_117_1580,487,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,3.0,60.0
382,363,NODE_826_length_1582_cov_1.516769_1_165_1580,471,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,2.0,40.0
383,364,NODE_827_length_1581_cov_9.547945_2_135_1580,481,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,5.0,100.0
384,365,NODE_829_length_1580_cov_8.534613_1_3_941,313,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
385,366,NODE_837_length_1578_cov_8.091970_1_1_1434,478,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,3.0,60.0
386,367,NODE_841_length_1576_cov_13.606186_1_243_1544,433,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,3.0,75.0
